weeks_included,model,target_variable,horizon,location,location_name,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc
52,ECDC-norrsken_green,inc case,2,GR,Greece,1.37,1.36,1.4,0.11,0.67,0.15,18,1
52,EuroCOVIDhub-baseline,inc case,2,GR,Greece,1,1,1,0.6,1,0.17,25,1
52,EuroCOVIDhub-ensemble,inc case,2,GR,Greece,1.01,0.99,1,0.61,0.83,0.2,23,1
52,Lydia-SARIMA,inc case,2,GR,Greece,1.28,1.89,1.83,1,1,0.09,25,1
52,epiforecasts-tsensemble,inc case,2,GR,Greece,1.14,1.1,1.07,0.52,0.86,0.16,21,1
52,ECDC-norrsken_blue,inc case,3,GR,Greece,1.29,1.17,1.2,0.67,0.94,0.42,18,1
52,ECDC-norrsken_green,inc case,3,GR,Greece,1.49,1.42,1.46,0.17,0.61,0.26,18,1
52,EuroCOVIDhub-baseline,inc case,3,GR,Greece,1,1,1,0.68,1,0.16,25,1
52,EuroCOVIDhub-ensemble,inc case,3,GR,Greece,1.12,1.04,1.05,0.61,0.87,0.23,23,1
52,Lydia-SARIMA,inc case,3,GR,Greece,1.27,1.7,1.63,1,1,0.09,25,1
52,epiforecasts-tsensemble,inc case,3,GR,Greece,1.24,1.16,1.12,0.43,0.81,0.21,21,1
52,ECDC-norrsken_blue,inc case,4,GR,Greece,1.35,1.23,1.25,0.67,0.94,0.44,18,1
52,ECDC-norrsken_green,inc case,4,GR,Greece,1.53,1.46,1.5,0.11,0.56,0.24,18,1
52,EuroCOVIDhub-baseline,inc case,4,GR,Greece,1,1,1,0.64,1,0.14,25,1
52,EuroCOVIDhub-ensemble,inc case,4,GR,Greece,1.13,1.05,1.07,0.61,0.87,0.21,23,1
52,epiforecasts-tsensemble,inc case,4,GR,Greece,1.28,1.18,1.1,0.48,0.76,0.16,21,1
52,EuroCOVIDhub-baseline,inc death,1,GR,Greece,1,1,1,0.6,1,0.01,25,1
52,epiforecasts-tsensemble,inc death,1,GR,Greece,1.73,1.79,1.79,0.55,0.75,0.2,20,1
52,EuroCOVIDhub-baseline,inc death,2,GR,Greece,1,1,1,0.72,1,0.04,25,1
52,epiforecasts-tsensemble,inc death,2,GR,Greece,1.52,1.58,1.58,0.5,0.75,0.27,20,1
52,EuroCOVIDhub-baseline,inc death,3,GR,Greece,1,1,1,0.68,1,0.06,25,1
52,epiforecasts-tsensemble,inc death,3,GR,Greece,1.49,1.43,1.43,0.5,0.85,0.25,20,1
52,EuroCOVIDhub-baseline,inc death,4,GR,Greece,1,1,1,0.8,1,0.06,25,1
52,epiforecasts-tsensemble,inc death,4,GR,Greece,1.51,1.31,1.31,0.55,0.85,0.26,20,1
52,ECDC-norrsken_blue,inc case,1,HU,Hungary,1.93,1.28,1.28,0.71,0.88,0.26,17,1
52,ECDC-norrsken_green,inc case,1,HU,Hungary,1.57,1.1,1.1,0.24,0.41,0.37,17,1
52,EuroCOVIDhub-baseline,inc case,1,HU,Hungary,1,1,1,0.8,1,0.11,25,1
52,EuroCOVIDhub-ensemble,inc case,1,HU,Hungary,1.49,0.92,0.87,0.8,0.95,0.21,20,1
52,epiforecasts-tsensemble,inc case,1,HU,Hungary,1.3,0.77,0.81,0.7,0.95,-0,20,1
52,ECDC-norrsken_blue,inc case,2,HU,Hungary,2.05,1.01,0.98,0.71,0.88,0.39,17,1
52,ECDC-norrsken_green,inc case,2,HU,Hungary,1.59,0.82,0.79,0.41,0.59,0.33,17,1
52,EuroCOVIDhub-baseline,inc case,2,HU,Hungary,1,1,1,1,1,0.04,25,1
52,EuroCOVIDhub-ensemble,inc case,2,HU,Hungary,1.5,0.72,0.7,0.8,1,0.2,20,1
52,epiforecasts-tsensemble,inc case,2,HU,Hungary,1.34,0.58,0.64,0.6,0.95,-0,20,1
52,ECDC-norrsken_blue,inc case,3,HU,Hungary,2.19,0.92,0.89,0.47,0.88,0.51,17,1
52,ECDC-norrsken_green,inc case,3,HU,Hungary,1.61,0.7,0.67,0.29,0.47,0.3,17,1
52,EuroCOVIDhub-baseline,inc case,3,HU,Hungary,1,1,1,1,1,0.03,25,1
52,EuroCOVIDhub-ensemble,inc case,3,HU,Hungary,1.44,0.61,0.62,0.8,0.95,0.22,20,1
52,epiforecasts-tsensemble,inc case,3,HU,Hungary,1.29,0.47,0.5,0.45,0.9,-0.07,20,1
52,ECDC-norrsken_blue,inc case,4,HU,Hungary,2.41,0.9,0.86,0.47,0.88,0.59,17,1
52,ECDC-norrsken_green,inc case,4,HU,Hungary,1.67,0.64,0.62,0.29,0.53,0.28,17,1
52,EuroCOVIDhub-baseline,inc case,4,HU,Hungary,1,1,1,1,1,0.03,25,1
52,EuroCOVIDhub-ensemble,inc case,4,HU,Hungary,1.44,0.56,0.59,0.8,0.95,0.2,20,1
