weeks_included,model,target_variable,horizon,location,location_name,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc
52,EuroCOVIDhub-baseline,inc case,2,RO,Romania,1,1,1,0.92,1,0.13,25,1
52,EuroCOVIDhub-ensemble,inc case,2,RO,Romania,1.05,0.49,0.58,0.57,0.87,0.28,23,1
52,Lydia-SARIMA,inc case,2,RO,Romania,8.9,3.92,3.64,1,1,0.24,25,1
52,epiforecasts-tsensemble,inc case,2,RO,Romania,1.08,0.45,0.52,0.48,0.81,0.28,21,1
52,ECDC-norrsken_blue,inc case,3,RO,Romania,1.44,0.61,0.55,0.72,0.94,0.37,18,1
52,ECDC-norrsken_green,inc case,3,RO,Romania,1.64,0.57,0.51,0.33,0.61,0.38,18,1
52,EuroCOVIDhub-baseline,inc case,3,RO,Romania,1,1,1,1,1,0.12,25,1
52,EuroCOVIDhub-ensemble,inc case,3,RO,Romania,1.03,0.44,0.5,0.57,0.83,0.3,23,1
52,Lydia-SARIMA,inc case,3,RO,Romania,11.1,3.83,3.65,1,1,0.3,25,1
52,epiforecasts-tsensemble,inc case,3,RO,Romania,1.06,0.39,0.45,0.48,0.81,0.26,21,1
52,ECDC-norrsken_blue,inc case,4,RO,Romania,1.76,0.63,0.55,0.56,0.89,0.42,18,1
52,ECDC-norrsken_green,inc case,4,RO,Romania,1.85,0.55,0.48,0.28,0.72,0.39,18,1
52,EuroCOVIDhub-baseline,inc case,4,RO,Romania,1,1,1,1,1,0.1,25,1
52,EuroCOVIDhub-ensemble,inc case,4,RO,Romania,1.02,0.4,0.46,0.52,0.83,0.29,23,1
52,epiforecasts-tsensemble,inc case,4,RO,Romania,1.06,0.35,0.41,0.48,0.76,0.23,21,1
52,ECDC-norrsken_blue,inc death,1,RO,Romania,4.95,2.29,2.3,0.5,0.94,0.56,18,1
52,ECDC-norrsken_green,inc death,1,RO,Romania,3.07,1.44,1.45,0.22,0.5,0.77,18,1
52,EuroCOVIDhub-baseline,inc death,1,RO,Romania,1,1,1,1,1,0.12,25,1
52,EuroCOVIDhub-ensemble,inc death,1,RO,Romania,0.99,0.56,0.58,0.83,1,0.25,23,1
52,Lydia-SARIMA,inc death,1,RO,Romania,1.5,2.67,2.49,1,1,-0,25,1
52,epiforecasts-tsensemble,inc death,1,RO,Romania,0.87,0.32,0.33,0.55,1,0.18,20,1
52,ECDC-norrsken_blue,inc death,2,RO,Romania,6.83,1.8,1.8,0.33,0.94,0.63,18,1
52,ECDC-norrsken_green,inc death,2,RO,Romania,4.69,1.24,1.24,0.11,0.39,0.82,18,1
52,EuroCOVIDhub-baseline,inc death,2,RO,Romania,1,1,1,1,1,0.07,25,1
52,EuroCOVIDhub-ensemble,inc death,2,RO,Romania,1.1,0.5,0.52,0.78,1,0.34,23,1
52,Lydia-SARIMA,inc death,2,RO,Romania,1.81,2.28,2.17,1,1,0,25,1
52,epiforecasts-tsensemble,inc death,2,RO,Romania,0.96,0.21,0.22,0.6,1,0.26,20,1
52,ECDC-norrsken_blue,inc death,3,RO,Romania,11.52,1.79,1.77,0.33,0.89,0.65,18,1
52,ECDC-norrsken_green,inc death,3,RO,Romania,9.11,1.42,1.41,0,0.5,0.8,18,1
52,EuroCOVIDhub-baseline,inc death,3,RO,Romania,1,1,1,1,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc death,3,RO,Romania,1.43,0.54,0.55,0.65,1,0.31,23,1
52,Lydia-SARIMA,inc death,3,RO,Romania,2.65,2.18,2.09,1,1,0.01,25,1
52,epiforecasts-tsensemble,inc death,3,RO,Romania,0.9,0.14,0.14,0.6,1,0.28,20,1
52,ECDC-norrsken_blue,inc death,4,RO,Romania,13.15,1.85,1.84,0.17,0.94,0.74,18,1
52,ECDC-norrsken_green,inc death,4,RO,Romania,12.51,1.83,1.81,0.06,0.44,0.91,18,1
52,EuroCOVIDhub-baseline,inc death,4,RO,Romania,1,1,1,1,1,0.04,25,1
52,EuroCOVIDhub-ensemble,inc death,4,RO,Romania,1.43,0.6,0.61,0.7,1,0.31,23,1
52,epiforecasts-tsensemble,inc death,4,RO,Romania,0.88,0.11,0.11,0.7,1,0.25,20,1
52,ECDC-norrsken_blue,inc case,1,SE,Sweden,0.56,0.51,0.47,0.89,1,0.11,18,1
52,ECDC-norrsken_green,inc case,1,SE,Sweden,0.84,0.6,0.56,0.17,0.72,0.26,18,1
52,EuroCOVIDhub-baseline,inc case,1,SE,Sweden,1,1,1,0.68,1,0.2,25,1
52,EuroCOVIDhub-ensemble,inc case,1,SE,Sweden,0.92,0.67,0.74,0.65,1,0.15,23,1
52,Lydia-SARIMA,inc case,1,SE,Sweden,7.12,7.56,6.83,1,1,0.16,25,1
52,epiforecasts-tsensemble,inc case,1,SE,Sweden,1.03,0.76,0.87,0.71,0.9,0.1,21,1
52,ECDC-norrsken_blue,inc case,2,SE,Sweden,0.52,0.38,0.34,0.83,1,0.08,18,1
52,ECDC-norrsken_green,inc case,2,SE,Sweden,0.78,0.42,0.38,0.17,0.78,0.13,18,1
52,EuroCOVIDhub-baseline,inc case,2,SE,Sweden,1,1,1,0.84,1,0.13,25,1
52,EuroCOVIDhub-ensemble,inc case,2,SE,Sweden,0.95,0.5,0.59,0.7,1,0.12,23,1
52,Lydia-SARIMA,inc case,2,SE,Sweden,9.72,6.59,6.14,1,1,0.19,25,1
52,epiforecasts-tsensemble,inc case,2,SE,Sweden,1.02,0.57,0.63,0.67,0.86,0.11,21,1
52,ECDC-norrsken_blue,inc case,3,SE,Sweden,0.51,0.34,0.3,0.89,1,0.1,18,1
52,ECDC-norrsken_green,inc case,3,SE,Sweden,0.76,0.35,0.31,0.17,0.72,0.07,18,1
52,EuroCOVIDhub-baseline,inc case,3,SE,Sweden,1,1,1,0.96,1,0.12,25,1
52,EuroCOVIDhub-ensemble,inc case,3,SE,Sweden,1,0.43,0.52,0.65,1,0.1,23,1
52,Lydia-SARIMA,inc case,3,SE,Sweden,11.59,6.01,5.7,1,1,0.22,25,1
52,epiforecasts-tsensemble,inc case,3,SE,Sweden,1.1,0.52,0.59,0.52,0.86,0.1,21,1
52,ECDC-norrsken_blue,inc case,4,SE,Sweden,0.55,0.32,0.27,0.89,1,0.13,18,1
52,ECDC-norrsken_green,inc case,4,SE,Sweden,0.78,0.29,0.24,0.06,0.78,-0.02,18,1
52,EuroCOVIDhub-baseline,inc case,4,SE,Sweden,1,1,1,1,1,0.12,25,1
52,EuroCOVIDhub-ensemble,inc case,4,SE,Sweden,0.94,0.35,0.44,0.65,1,0.11,23,1
52,epiforecasts-tsensemble,inc case,4,SE,Sweden,1.06,0.41,0.47,0.57,0.86,0.03,21,1
52,EuroCOVIDhub-baseline,inc death,1,SE,Sweden,1,1,1,0.32,0.68,-0.23,25,1
52,epiforecasts-tsensemble,inc death,1,SE,Sweden,1.09,1.04,1.04,0.5,0.8,0.24,20,1
52,EuroCOVIDhub-baseline,inc death,2,SE,Sweden,1,1,1,0.44,0.76,-0.24,25,1
52,epiforecasts-tsensemble,inc death,2,SE,Sweden,1.2,1.23,1.23,0.55,0.7,0.24,20,1
52,EuroCOVIDhub-baseline,inc death,3,SE,Sweden,1,1,1,0.48,0.88,-0.24,25,1
52,epiforecasts-tsensemble,inc death,3,SE,Sweden,1.28,1.4,1.4,0.55,0.7,0.2,20,1
52,EuroCOVIDhub-baseline,inc death,4,SE,Sweden,1,1,1,0.56,0.96,-0.21,25,1
52,epiforecasts-tsensemble,inc death,4,SE,Sweden,1.49,1.69,1.69,0.55,0.7,0.18,20,1
52,ECDC-norrsken_blue,inc case,1,SI,Slovenia,0.63,0.36,0.34,0.61,1,0.18,18,1
52,ECDC-norrsken_green,inc case,1,SI,Slovenia,0.79,0.41,0.41,0.17,0.67,0.47,18,1
52,EuroCOVIDhub-baseline,inc case,1,SI,Slovenia,1,1,1,1,1,0.09,25,1
52,EuroCOVIDhub-ensemble,inc case,1,SI,Slovenia,0.77,0.39,0.41,0.68,1,0.24,22,1
52,Lydia-SARIMA,inc case,1,SI,Slovenia,5.55,3.5,3.44,1,1,0.19,21,1
52,epiforecasts-tsensemble,inc case,1,SI,Slovenia,0.92,0.47,0.47,0.75,0.9,0.18,20,1
52,ECDC-norrsken_blue,inc case,2,SI,Slovenia,0.67,0.31,0.3,0.61,1,0.27,18,1
52,ECDC-norrsken_green,inc case,2,SI,Slovenia,0.82,0.35,0.34,0.17,0.5,0.4,18,1
52,EuroCOVIDhub-baseline,inc case,2,SI,Slovenia,1,1,1,1,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc case,2,SI,Slovenia,0.74,0.33,0.35,0.73,1,0.24,22,1
52,Lydia-SARIMA,inc case,2,SI,Slovenia,8.16,3.7,3.81,1,1,0.24,21,1
52,epiforecasts-tsensemble,inc case,2,SI,Slovenia,0.91,0.37,0.36,0.7,0.85,0.09,20,1
52,ECDC-norrsken_blue,inc case,3,SI,Slovenia,0.7,0.29,0.28,0.67,1,0.41,18,1
52,ECDC-norrsken_green,inc case,3,SI,Slovenia,0.84,0.31,0.31,0.17,0.72,0.36,18,1
52,EuroCOVIDhub-baseline,inc case,3,SI,Slovenia,1,1,1,1,1,0.04,25,1
52,EuroCOVIDhub-ensemble,inc case,3,SI,Slovenia,0.72,0.31,0.32,0.82,1,0.24,22,1
52,Lydia-SARIMA,inc case,3,SI,Slovenia,10.18,3.68,3.9,1,1,0.27,21,1
52,epiforecasts-tsensemble,inc case,3,SI,Slovenia,0.89,0.3,0.29,0.6,0.85,0.04,20,1
52,ECDC-norrsken_blue,inc case,4,SI,Slovenia,0.84,0.29,0.28,0.61,1,0.51,18,1
52,ECDC-norrsken_green,inc case,4,SI,Slovenia,0.9,0.28,0.28,0.06,0.72,0.31,18,1
52,EuroCOVIDhub-baseline,inc case,4,SI,Slovenia,1,1,1,1,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc case,4,SI,Slovenia,0.74,0.27,0.31,0.68,1,0.25,22,1
52,epiforecasts-tsensemble,inc case,4,SI,Slovenia,0.89,0.26,0.25,0.55,0.9,0.01,20,1
52,ECDC-norrsken_blue,inc case,1,SK,Slovakia,1.46,0.48,0.46,0.67,1,0.24,18,1
52,ECDC-norrsken_green,inc case,1,SK,Slovakia,1.26,0.35,0.33,0.17,0.61,0.44,18,1
52,EuroCOVIDhub-baseline,inc case,1,SK,Slovakia,1,1,1,0.92,1,0.16,25,1
52,EuroCOVIDhub-ensemble,inc case,1,SK,Slovakia,1.12,0.33,0.34,0.68,0.95,0.25,22,1
52,epiforecasts-tsensemble,inc case,1,SK,Slovakia,1.19,0.32,0.34,0.62,0.9,0.1,21,1
52,ECDC-norrsken_blue,inc case,2,SK,Slovakia,1.36,0.4,0.36,0.61,1,0.35,18,1
52,ECDC-norrsken_green,inc case,2,SK,Slovakia,1.13,0.27,0.24,0.11,0.72,0.43,18,1
52,EuroCOVIDhub-baseline,inc case,2,SK,Slovakia,1,1,1,1,1,0.09,25,1
52,EuroCOVIDhub-ensemble,inc case,2,SK,Slovakia,1.04,0.28,0.3,0.68,0.95,0.26,22,1
52,epiforecasts-tsensemble,inc case,2,SK,Slovakia,1.11,0.24,0.27,0.52,0.9,0.05,21,1
52,ECDC-norrsken_blue,inc case,3,SK,Slovakia,1.44,0.36,0.33,0.56,1,0.47,18,1
52,ECDC-norrsken_green,inc case,3,SK,Slovakia,1.06,0.21,0.2,0.22,0.78,0.54,18,1
52,EuroCOVIDhub-baseline,inc case,3,SK,Slovakia,1,1,1,1,1,0.07,25,1
52,EuroCOVIDhub-ensemble,inc case,3,SK,Slovakia,1.01,0.23,0.27,0.55,0.95,0.32,22,1
52,epiforecasts-tsensemble,inc case,3,SK,Slovakia,1.07,0.18,0.18,0.48,0.95,-0.01,21,1
52,ECDC-norrsken_blue,inc case,4,SK,Slovakia,1.61,0.35,0.34,0.44,1,0.58,18,1
52,ECDC-norrsken_green,inc case,4,SK,Slovakia,1,0.18,0.18,0.33,0.61,0.53,18,1
52,EuroCOVIDhub-baseline,inc case,4,SK,Slovakia,1,1,1,1,1,0.05,25,1
52,EuroCOVIDhub-ensemble,inc case,4,SK,Slovakia,0.94,0.21,0.23,0.59,1,0.35,22,1
52,epiforecasts-tsensemble,inc case,4,SK,Slovakia,1.05,0.15,0.14,0.52,0.95,-0.01,21,1
52,EuroCOVIDhub-baseline,inc case,1,AT,Austria,NA,NA,NA,1,1,0.27,15,1
52,EuroCOVIDhub-baseline,inc case,1,CY,Cyprus,NA,NA,NA,0.44,1,0.25,25,1
52,EuroCOVIDhub-baseline,inc case,1,DK,Denmark,NA,NA,NA,1,1,0.1,25,1
52,EuroCOVIDhub-baseline,inc case,1,HR,Croatia,NA,NA,NA,0.37,1,0.29,19,1
52,EuroCOVIDhub-baseline,inc case,2,AT,Austria,NA,NA,NA,1,1,0.18,15,1
52,EuroCOVIDhub-baseline,inc case,2,CY,Cyprus,NA,NA,NA,0.48,1,0.24,25,1
52,EuroCOVIDhub-baseline,inc case,2,DK,Denmark,NA,NA,NA,1,1,0.07,25,1
52,EuroCOVIDhub-baseline,inc case,2,HR,Croatia,NA,NA,NA,0.37,1,0.23,19,1
52,EuroCOVIDhub-baseline,inc case,3,AT,Austria,NA,NA,NA,1,1,0.1,15,1
52,EuroCOVIDhub-baseline,inc case,3,CY,Cyprus,NA,NA,NA,0.52,1,0.2,25,1
52,EuroCOVIDhub-baseline,inc case,3,DK,Denmark,NA,NA,NA,1,1,0.06,25,1
52,EuroCOVIDhub-baseline,inc case,3,HR,Croatia,NA,NA,NA,0.42,1,0.21,19,1
52,EuroCOVIDhub-baseline,inc case,4,AT,Austria,NA,NA,NA,1,1,0.09,15,1
52,EuroCOVIDhub-baseline,inc case,4,CY,Cyprus,NA,NA,NA,0.6,1,0.21,25,1
52,EuroCOVIDhub-baseline,inc case,4,DK,Denmark,NA,NA,NA,1,1,0.07,25,1
52,EuroCOVIDhub-baseline,inc case,4,HR,Croatia,NA,NA,NA,0.42,1,0.17,19,1
52,EuroCOVIDhub-baseline,inc death,1,CY,Cyprus,NA,NA,NA,1,1,-0.03,25,1
52,EuroCOVIDhub-baseline,inc death,1,CZ,Czechia,NA,NA,NA,0.68,1,-0.02,25,1
52,EuroCOVIDhub-baseline,inc death,1,DK,Denmark,NA,NA,NA,0.56,0.92,0.06,25,1
52,EuroCOVIDhub-baseline,inc death,1,FR,France,NA,NA,NA,1,1,0.49,14,1
52,EuroCOVIDhub-baseline,inc death,1,HR,Croatia,NA,NA,NA,0.47,1,0.17,19,1
52,EuroCOVIDhub-baseline,inc death,1,HU,Hungary,NA,NA,NA,1,1,-0.08,19,1
52,EuroCOVIDhub-baseline,inc death,1,IE,Ireland,NA,NA,NA,0.52,1,-0.46,25,1
52,EuroCOVIDhub-baseline,inc death,1,LI,Liechtenstein,NA,NA,NA,0.88,1,-0.04,25,1
52,EuroCOVIDhub-baseline,inc death,1,SI,Slovenia,NA,NA,NA,0.64,1,-0.18,25,1
52,EuroCOVIDhub-baseline,inc death,1,SK,Slovakia,NA,NA,NA,0.84,1,-0.11,25,1
52,EuroCOVIDhub-baseline,inc death,2,CY,Cyprus,NA,NA,NA,1,1,-0.03,25,1
52,EuroCOVIDhub-baseline,inc death,2,CZ,Czechia,NA,NA,NA,0.88,1,0.01,25,1
52,EuroCOVIDhub-baseline,inc death,2,DK,Denmark,NA,NA,NA,0.56,0.88,0.03,25,1
52,EuroCOVIDhub-baseline,inc death,2,FR,France,NA,NA,NA,1,1,0.3,14,1
52,EuroCOVIDhub-baseline,inc death,2,HR,Croatia,NA,NA,NA,0.47,1,0.16,19,1
52,EuroCOVIDhub-baseline,inc death,2,IE,Ireland,NA,NA,NA,0.76,1,-0.32,25,1
52,EuroCOVIDhub-baseline,inc death,2,LI,Liechtenstein,NA,NA,NA,0.92,1,0,25,1
52,EuroCOVIDhub-baseline,inc death,2,SI,Slovenia,NA,NA,NA,0.72,1,-0.1,25,1
52,EuroCOVIDhub-baseline,inc death,2,SK,Slovakia,NA,NA,NA,1,1,-0.06,25,1
52,EuroCOVIDhub-baseline,inc death,3,CY,Cyprus,NA,NA,NA,1,1,-0.02,25,1
52,EuroCOVIDhub-baseline,inc death,3,CZ,Czechia,NA,NA,NA,1,1,0.02,25,1
52,EuroCOVIDhub-baseline,inc death,3,DK,Denmark,NA,NA,NA,0.56,0.96,0.04,25,1
52,EuroCOVIDhub-baseline,inc death,3,FR,France,NA,NA,NA,1,1,0.2,13,1
52,EuroCOVIDhub-baseline,inc death,3,HR,Croatia,NA,NA,NA,0.79,1,0.16,19,1
52,EuroCOVIDhub-baseline,inc death,3,IE,Ireland,NA,NA,NA,1,1,-0.24,25,1
52,EuroCOVIDhub-baseline,inc death,3,LI,Liechtenstein,NA,NA,NA,0.96,1,-0.02,25,1
52,EuroCOVIDhub-baseline,inc death,3,SI,Slovenia,NA,NA,NA,0.64,1,-0.06,25,1
52,EuroCOVIDhub-baseline,inc death,3,SK,Slovakia,NA,NA,NA,1,1,-0.03,25,1
52,EuroCOVIDhub-baseline,inc death,4,CY,Cyprus,NA,NA,NA,1,1,-0.01,25,1
52,EuroCOVIDhub-baseline,inc death,4,CZ,Czechia,NA,NA,NA,1,1,0.04,25,1
52,EuroCOVIDhub-baseline,inc death,4,DK,Denmark,NA,NA,NA,0.52,1,0.03,25,1
52,EuroCOVIDhub-baseline,inc death,4,FR,France,NA,NA,NA,1,1,0.2,12,1
52,EuroCOVIDhub-baseline,inc death,4,HR,Croatia,NA,NA,NA,0.84,1,0.12,19,1
52,EuroCOVIDhub-baseline,inc death,4,IE,Ireland,NA,NA,NA,1,1,-0.2,25,1
52,EuroCOVIDhub-baseline,inc death,4,LI,Liechtenstein,NA,NA,NA,0.92,1,-0.02,25,1
52,EuroCOVIDhub-baseline,inc death,4,SI,Slovenia,NA,NA,NA,0.68,1,-0.02,25,1
52,EuroCOVIDhub-baseline,inc death,4,SK,Slovakia,NA,NA,NA,1,1,-0.03,25,1
